dialog_id,type,character_id,option,text,requirements,outputs,extra_characters,comments
drlivingrock_others,0,drlivingrock,Missing Tooth,"[1]: STUDENT LOANS, KID! STUDENT LOANS!!!","+drlivingrock_start,-missing_tooth",+missing_tooth,,
drlivingrock_others,0,drlivingrock,About Ribbitony,"[1]: HAH! That old toad! He's BALD you know.
[1]: He might have a lead on the ONE-TREASURE, but I'm done doing favors at my age.
[1]: You should ask him, if you don't mind a workout! HAR HAR!","+drlivingrock_start,+mrtoad_start",,,
drlivingrock_others,0,drlivingrock,About the ONE-TREASURE,"[1]: You seem a bit confused, kid. Peer review happens AFTER I find it!
[1]: HAR HAR HAR!","+drlivingrock_start,-golden_crown",,,"está mintiendo xD, quiere algo a cambio prrr"
drlivingrock_others,0,drlivingrock,About the Crown,"[1]: The Crown? Mmm... I believe it used to belong to the Islands' High Priestess.
[1]: She disappeared quite a long time ago, total mystery.
[1]: ...(I'm pretty sure the arrow traps did 'er in though)
[1]: Legend says the one who wears the crown
[1]: would be worshiped by everyone for eternity...
[1]: But legends aren't science, and I'm a DOCTOR!","+drlivingrock,+golden_crown",,,
drlivingrocklast_intro,0,drlivingrocklast,,"[1]: Kid! Ya made it!
[0]: Doc? Did you find the ONE-TREASURE?
[1]: What? No, ya DORK! Ya made it to the end of the GAME!
[0]: But Doc! The fourth wall!
[1]: HAH! Gimme a break kid, even the third walls got bugs, ya think there was budget for a fourth in this jam?
[0]: ...I guess I wasn't expecting a copout is all.
[1]: COPOUT? That's no way for an Archaeologist to speak kid! 
[1]: Be proud, you're not dead! AND YA MET ME! 
[0]: Heh, I suppose that's right Doc. Till we meet again then!",,,,
temple_trap_arrow_start,0,temple,,"[0]: Arrow traps! they remind me of that time at the Temple of Doom*.
[0]: It wasn't easy, but I've got some moves now.
[0]: ...
[0]: Walking evasively counts as a move, right?",-trap_arrow_start,+trap_arrow_start,,
temple_trap_death,0,temple,,"[0]: Ugh, I underestimated this Islands' traps. 
[0]: Thank god I've got the GOLDEN AMULET, I can try again.
[0]: Gone, but still saving my butt, Nana.",+temple_trap_death,+temple_trap_death_complete,,
stella_quest_start,0,stella,,"[1]: Hi Hi Hi there Mister Glasses!!
[0]: Oh! Who might you be little lady?
[1]: [1]-- but you can call me Miss [1].
[1]: And you?? You're new here!!
[0]: I'm [0] Topson, world class archaeologist, searching here for the ONE-TREASURE.
[1]: Hee hee hee, so funny!! Arkee-ko-lolo-geeeeest!!
[0]: ...did I say it like that?
[1]: Well MISTER GLASSES!! If you're so so so good at finding things, find ME a thing!!
[0]: Okay...
[1]: Could you twinkle twinkle please find the GOLDEN CROWN for me??
[0]: I think I could do that.
[1]: YAYY!! If you do, I think I might know something about your treasure thing!!
[0]: Then we have a deal!","-golden_crown,-stella_complete,-stella_intro,+stella_quest","+stella_intro,-temple_closed",,
stella_complete,0,stella,Give the Crown,"[0]: I present to you!... the GOLDEN CROWN Miss [1]!
[1]: Mommys Crown!! Mommys Crown!! Oh... Thanks so so so much Mister Glasses!!
[1]: I'm so so so happy!! I asked lots of explorers before, 
[1]: but they all liked the spikes in the forest so much they stayed there sleeping!! So so so lazy!!
[1]: You really ARE the best Arkeelologeest!!
[0]: Do I have to start calling you Queen [1] now?.
[1]: No Silly!! We don't believe in hereditary monarchy in Hollow Island!! Hee hee hee!! 
[1]: Call me TURBO STELLA!!
[0]: Your wish is my command, Turbo [1].
[1]: Okay!! Now you go talk to [2]!! They know like, a lot lot lot of stuff I think!!
[0]: Thanks Turbo [1].","+golden_crown,-stella_complete","+stella_complete,+sylvester_quest,+stella_intro,-stella_quest",sylvester,
stella_others,0,stella,About the Crown,"[1]: It's in the Island silly, not HERE!! Duh!!","+stella_intro,-stella_complete",,,
stella_others,0,stella,About Hollow Island,"[1]: Oh, It's okay! I like playing with Sylvester and shining really really bright at night until Mister Froggy yells at me!!
[1]: Mister Froggy is so so so funny!!",+stella_intro,,,
golden_crown_pickup,0,golden_crown,,"[0]: The GOLDEN CROWN! It's so shiny and mystical!
[0]: This should be in a Jewelry Exhibit...
[0]: But I want to find the ONE-TREASURE...
[0]: I will give it to Miss [2] and hear what she has to say.","-golden_crown,-stella_complete",+golden_crown,stella,
sylvester_intro,0,sylvester,,"[0]: Hi Kid, my name is [0], what's yours?
[1]: My name is [1]. I like to play games.
[0]: Ehm,.. nice, I am an Archeologist.
[1]: Boooooring!!",-sylvester_intro,+sylvester_intro,,
sylvester_quest_start,0,sylvester,Quest,"[1]: Do you want to play a little game?
[0]: I have more important things to do.
[1]: That's what daddy says all the time...
[1]: ...all because of that ONE-TREASURE thingy.
[0]: I might have some time to play.... tell me more about that.
[1]: I've lost my GOLDEN BALL!! it is round and golden...
[0]: and what about the ... thingy?
[1]: Help me with my ball and I can tell you where my daddy is.
[0]: DEAL!","-sylvester_quest_start,+sylvester_intro,+sylvester_quest","+sylvester_intro,+sylvester_quest_start",,
sylvester_quest_complete,0,sylvester,Give GOLDEN BALL,"[0]: So... I found the ball but....
[1]: Weeeee!!! I knew you were not boring!
[1]: Unlike my Dad. You are the best Archeologist Mr [0].
[0]: Ok.. well yeah, I am... thanks...
[0]: Here... take the GOLDEN BALL but be careful with it.
[1]: Weeeee!!!
[1]: you should talk with [2], he and my dad talk a lot
[1]: he might know about that thing you want.","+golden_ball,+sylvester_quest_start,+sylvester_intro,+sylvester_quest","+sylvester_quest_complete,+mrtoad_quest,-sylvester_quest",mrtoad,
sylvester_others,0,sylvester,About the Ball,"[1]: It is round and golden, I want it!! PLEAAASE!","-golden_ball,-sylvester_complete,+sylvester_intro,+sylvester_quest_start",,,
sylvester_others,0,sylvester,About Hollow Island,"[1]: It is boring as hell.. we came here for something.
[1]: Then there is that temple...
[1]: but I don't care. I miss Rocky Town and my friends.",+sylvester_intro,,,
sylvester_others,1,sylvester,Read mind,"[1]: Another Archosomething, so boring... and useless.","+sylvester_intro,-sylvester_quest_start",,,
sylvester_others,1,sylvester,Read mind,"[1]: He is soooo cool, I hope my daddy was like him.","+sylvester_intro,+sylvester_quest_complete",,,
golden_ball_pickup,0,golden_ball,,"[0]: The GOLDEN BALL!
[0]: Not a toy at all, [2] shouldn't be playing with it.
[0]: But I need more information about his dad and the ONE.
[0]: Time to grab it!","-golden_ball,-sylvester_complete,+sylvester_quest",+golden_ball,sylvester,
temple_closed,0,temple,,[0]: I should probably get more information first.,+temple_closed,,,
trees_passage_1,0,temple,,"[0]: There is a passage blocked by the trees.
[0]: I should take a look later, after returning the crown.","-stella_complete,-sylvester_quest_start",,,
door_blocked,0,temple,,"[0]: Mmmm, the door is locked.
[0]: There must be another way to get inside.","-stella_complete,-sylvester_quest_start",,,
mrlong_intro,0,mrlong,,"[1]: [2] boss told [1] to find da bug but [1] not sure how to reach it.
[1]: can you help [1]? I can be of help if you get in a fight.",-mrlong_intro,+mrlong_intro,mrtoad,
mrlong_others,0,mrlong,Adventures,"[0]: Are you an adventurer?
[1]: [1] is not an adventurer, just likes to work for the boss and do as he says.",+mrlong_intro,,,
mrlong_others,1,mrlong,Read mind,[1]: What am I doing here?? I want to be home playing with my Game Boy!  ,+mrlong_intro,,,
alien_intro,0,alien,,"[1]:Uhhhgg... My head... My core is completely offline... 
[0]: Whoa! Are you ok?
[1]:A... bipedal creature? Wait, why is your skeleton on the inside and it's covered in soft mush meat? That's terrible design.",-alien_intro,+alien_intro,,
alien_others,0,alien,,"[1]: Last night I was taking a walk when suddenly I fell ill...
[1]: It seems I lost consciousness. That would have been... about 13 Earth hours ago.",+alien_intro,,,
alien_others,0,alien,,[1]: I saw you covering your filthy tentacle hands with those furry things... I know you wear slippers on your hands,+alien_intro,,,
alien_others,0,alien,,"[1]: So, you put water on your face hole instead of drinking the moisture through your feet? Gross!",+alien_intro,,,
alien_others,0,alien,,[1]: Digging up garbage that other humans threw away seems like a pretty crazy hobby,+alien_intro,,,
goose_intro,0,goose,,"[0]: Hi there, my name is [0] Topson, I'm looking for the ONE TREASURE.
[1]: Niiiiice to meeet you Mr [0] Topson.
[1]: I'm [1], I like to look at the beach to see new adventurers...
[0]: Are you an adventurer too Mr [1]?
[1]: Ohh no no, I just like to contemplate, I'm too afraid to enter the temple.",,+goose_intro,,
mushroom_intro,0,mushroom,,"[0]: Hi there Mr...
[1]: [1] and don't forget it kiddo.",-mushroom_intro,+mushroom_intro,,
mushroom_others,0,mushroom,,"[0]: Hi, you look a bit stressed. Is everything ok?
[1]: I'm trying to enjoy the soil, Topson but that screaming weed won't shut up
[0]: Sunny?
[1]: He thinks he's special because he stares at the sun all day. Like a solar panel.",+mushroom_intro +sunnyflower_intro,,,
mushroom_others,0,mushroom,,"[1]: You know, those plumber brothers pissed me off a couple of times.
[1]: Can't say getting rid of them is not the main reason I came here. ",+mushroom_intro,,,
sunnyflower_intro,0,sunnyflower,,"[1]: Hey Adventurer, this is not a place to be wandering.
[0]: Ok, I guess. Thanks for the advice Mr...?
[1]: [1], [1] Flowers. I am a detective.
[0]: [0] Topson here, Archeologist.
[1]: Nice to meet you Mr [0], just try to not get killed out there.",,+sunnyflower_intro,,
sunnyflower_others,0,sunnyflower,,"[0]: Hey Sunny, how's everything going today?
[1]: It would be a perfect day for photosyntesis if that moldy piece of filth wasn't blocking my view
[0]: You mean mushroom? He is just on the shade.
[1]: But his spores fly and cover the sun like a thousand arrows.","+sunnyflower_intro, +mushroom_intro",+sunnyflower_intro,,
golden_cup_pickup,0,golden_cup,,"[0]: What? this is a replica but not the real TREASURE!
[0]: I suppose the princess is in another castle?",-golden_cup,+golden_cup,stella,
